0
//Cycle
7
end

1
//State		StartDay	StartHour	StartMinute
1	  		0 	     	0	         0	    //开始允许注册CTC
2	  		0 	     	17	         10	    //结束注册
3	  		0 	     	17	         12	    //开始提交Rena
4	  		0 	     	17	         14	    //结束提交Rena
5	  		0 	     	17	         16	    //公布结果
6	  		0 	     	17	         18	    //公布结束
7	  		0 	     	17	         20	    //开始战斗
8	  		0 	     	17	         25	    //结束战斗
9	  		7 	     	0	         0	    //事件结束(自动重置为1)并开始新事件
end

2
//Monster	Index	Side	DBSave		DFLevel   RGLevel   MaxLife   X      Y      TX      TY      Dir
283	    	1	    1		1	       0	      0	        400000	  94     227	-1	-1      1
283	    	2	    1		1	       0	      0	        400000	  94     182	-1	-1      1
283	    	3	    1		1	       0	      0	        400000	  82     130	-1	-1      1
283	    	4	    1		1	       0	      0	        400000	  107	 130	-1	-1      1
277	    	1	    1		1	       0	      0	        500000	  93	 204	-1	-1      1
277	    	2	    1		1	       0	      0	        500000	  81	 161	-1	-1      1
277	    	3	    1		1	       0	      0	        500000	  107	 161	-1	-1      1
277	    	4	    1		1	       0	      0	        500000	  67	 114	-1	-1      1
277	    	5	    1		1	       0	      0	        500000	  93	 114	-1	-1      1
277	    	6	    1		0	       0	      0	        500000	  119	 114	-1	-1      1
288	    	1	    1		0	       0	      0	        800000	  75	 130	-1	-1      1
288	    	2	    1		0	       0	      0	        800000	  88	 130	-1	-1      1
288	    	3	    1		0	       0	      0	        800000	  99	 130	-1	-1      1
288	    	4	    1		0	       0	      0	        800000	  114	 130	-1	-1      1
288	    	5	    1		0	       0	      0	        800000	  94	 151	-1	-1      1
288	    	6	    1		0	       0	      0	        800000	  88	 182	-1	-1      1
288	    	7	    1		0	       0	      0	        800000	  100	 182	-1	-1      1
288	    	8	    1		0	       0	      0	        800000	  94	 221	-1	-1      1
288	    	9	    1		0	       0	      0	        800000	  94	 233	-1	-1      1
215	    	1	    1		0	       0	      0	        10000	  94	 242	-1	-1      1
222	    	1	    1		0	       0	      0	        10000	  80	 188	-1	-1      1
222	    	2	    1		0	       0	      0	        10000	  105	 188	-1	-1      1
221	    	1	    2		0	       0	      0	        10000	  63	 19		-1	-1      5
221	    	2	    2		0	       0	      0	        10000	  119	 19		-1	-1      5
end
